,Unnamed: 0,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,0,CSCO,1990-03-26,1.0,1.0,1.0,1.0,41702400,1.0,0.0,0.073982,0.0,337.22000099999997,339.73999,337.22000099999997,337.630005,116110000.0,337.630005
1,1,CSCO,1990-03-27,1.0,1.0,1.0,1.0,15926400,1.0,0.0015279999999999998,0.074746,0.0007639999999999999,337.630005,341.5,337.02999900000003,341.5,131610000.0,341.5
2,2,CSCO,1990-03-28,1.0,1.0,1.0,1.0,9792000,1.0,-0.0007639999999999999,0.074746,0.0,341.5,342.579987,340.600006,342.0,142300000.0,342.0
3,3,CSCO,1990-03-29,1.0,1.0,1.0,1.0,16272000,1.0,0.0,0.074746,0.0,342.0,342.070007,339.769989,340.790009,132190000.0,340.790009
4,4,CSCO,1990-03-30,1.0,1.0,1.0,1.0,28742400,1.0,-0.0030489999999999996,0.07413600000000001,0.002439,340.790009,341.410004,338.209991,339.940002,139340000.0,339.940002
5,5,CSCO,1990-04-02,1.0,1.0,1.0,1.0,15868800,1.0,-0.001529,0.073475,0.003307,339.940002,339.940002,336.329987,338.700012,124360000.0,338.700012
6,6,CSCO,1990-04-03,1.0,1.0,1.0,1.0,8352000,1.0,0.0007650000000000001,0.073112,0.002179,338.700012,343.76001,338.700012,343.640015,154310000.0,343.640015
7,7,CSCO,1990-04-04,1.0,1.0,1.0,1.0,14284800,1.0,0.0,0.07284,0.001907,343.640015,344.119995,340.399994,341.089996,159530000.0,341.089996
8,8,CSCO,1990-04-05,1.0,1.0,1.0,1.0,8323200,1.0,-0.00037799999999999997,0.072586,0.002031,341.089996,342.850006,340.630005,340.730011,144170000.0,340.730011
9,9,CSCO,1990-04-06,1.0,1.0,1.0,1.0,10771200,1.0,-0.001151,0.072268,0.0028640000000000002,340.730011,341.730011,338.940002,340.079987,137490000.0,340.079987
10,10,CSCO,1990-04-09,1.0,1.0,1.0,1.0,6681600,1.0,-0.0007650000000000001,0.071938,0.003095,340.079987,341.829987,339.880005,341.369995,114970000.0,341.369995
11,11,CSCO,1990-04-10,1.0,1.0,1.0,1.0,34790400,1.0,-0.0015199999999999999,0.071536,0.003776,341.369995,342.410004,340.619995,342.070007,136020000.0,342.070007
12,12,CSCO,1990-04-11,1.0,1.0,1.0,1.0,24796800,1.0,0.0,0.07119600000000001,0.003013,342.070007,343.0,341.26001,341.920013,141080000.0,341.920013
13,13,CSCO,1990-04-12,1.0,1.0,1.0,1.0,13161600,1.0,0.0007650000000000001,0.07095900000000001,0.001562,341.920013,344.790009,341.910004,344.339996,142470000.0,344.339996
14,14,CSCO,1990-04-16,1.0,1.0,1.0,1.0,5616000,1.0,0.0,0.070754,0.001181,344.339996,347.299988,344.100006,344.73999,142810000.0,344.73999
15,15,CSCO,1990-04-17,1.0,1.0,1.0,1.0,6566400,1.0,0.000755,0.070622,0.000273,344.73999,345.190002,342.059998,344.679993,127990000.0,344.679993
16,16,CSCO,1990-04-18,1.0,1.0,1.0,1.0,24480000,1.0,0.0007650000000000001,0.07055,0.0006450000000000001,344.679993,345.329987,340.109985,340.72000099999997,147130000.0,340.72000099999997
17,17,CSCO,1990-04-19,1.0,1.0,1.0,1.0,25142400,1.0,0.0007639999999999999,0.070529,0.001485,340.72000099999997,340.72000099999997,337.589996,338.089996,152930000.0,338.089996
18,18,CSCO,1990-04-20,1.0,1.0,1.0,1.0,8755200,1.0,-0.002284,0.07039,0.000532,338.089996,338.519989,333.410004,335.119995,174260000.0,335.119995
19,19,CSCO,1990-04-23,1.0,1.0,1.0,1.0,5356800,1.0,0.000755,0.070302,0.000299,335.119995,335.119995,330.089996,331.049988,136150000.0,331.049988
20,20,CSCO,1990-04-24,1.0,1.0,1.0,1.0,10281600,1.0,0.001151,0.070278,0.001335,331.049988,332.97000099999997,329.709991,330.359985,137360000.0,330.359985
21,21,CSCO,1990-04-25,1.0,1.0,1.0,1.0,6768000,1.0,0.00037799999999999997,0.070273,0.001408,330.359985,332.73999,330.359985,332.02999900000003,133480000.0,332.02999900000003
22,22,CSCO,1990-04-26,1.0,1.0,1.0,1.0,10713600,1.0,0.0,0.070268,0.001103,332.02999900000003,333.76001,330.670013,332.920013,141330000.0,332.920013
23,23,CSCO,1990-04-27,1.0,1.0,1.0,1.0,4204800,1.0,-0.0007639999999999999,0.070232,0.00018700000000000002,332.920013,333.570007,328.709991,329.109985,130630000.0,329.109985
24,24,CSCO,1990-04-30,1.0,1.0,1.0,1.0,34329600,1.0,0.003057,0.07032100000000001,0.002786,329.109985,331.309998,327.76001,330.799988,122750000.0,330.799988
25,25,CSCO,1990-05-01,1.0,1.0,1.0,1.0,28771200,1.0,0.001143,0.07044700000000001,0.003433,330.799988,332.829987,330.799988,332.25,149020000.0,332.25
26,26,CSCO,1990-05-02,1.0,1.0,1.0,1.0,3139200,1.0,-0.001143,0.070522,0.001984,332.25,334.480011,332.149994,334.480011,141610000.0,334.480011
27,27,CSCO,1990-05-03,1.0,1.0,1.0,1.0,7228800,1.0,0.002285,0.070673,0.003811,334.480011,337.019989,334.47000099999997,335.570007,145560000.0,335.570007
28,28,CSCO,1990-05-04,1.0,1.0,1.0,1.0,5702400,1.0,0.0007639999999999999,0.07084,0.003812,335.579987,338.459991,335.170013,338.390015,140550000.0,338.390015
29,29,CSCO,1990-05-07,1.0,1.0,1.0,1.0,13536000,1.0,0.0007650000000000001,0.071021,0.0038130000000000004,338.390015,341.070007,338.109985,340.52999900000003,132760000.0,340.52999900000003
30,30,CSCO,1990-05-08,1.0,1.0,1.0,1.0,14486400,1.0,0.000755,0.071215,0.0038439999999999998,340.52999900000003,342.02999900000003,340.170013,342.01001,144230000.0,342.01001
31,31,CSCO,1990-05-09,1.0,1.0,1.0,1.0,9676800,1.0,-0.0015199999999999999,0.071349,0.00179,342.01001,343.079987,340.899994,342.859985,152220000.0,342.859985
32,32,CSCO,1990-05-10,1.0,1.0,1.0,1.0,2793600,1.0,-0.0007639999999999999,0.071452,0.0005679999999999999,342.869995,344.980011,342.769989,343.820007,158460000.0,343.820007
33,33,CSCO,1990-05-11,1.0,1.0,1.0,1.0,29923200,1.0,0.0007639999999999999,0.07157100000000001,0.000721,343.820007,352.309998,343.820007,352.0,234040000.0,352.0
34,34,CSCO,1990-05-14,1.0,1.0,1.0,1.0,15235200,1.0,0.0,0.071684,0.00041600000000000003,352.0,358.410004,351.950012,354.75,225410000.0,354.75
35,35,CSCO,1990-05-15,1.0,1.0,1.0,1.0,24134400,1.0,0.00037799999999999997,0.071801,0.000566,354.75,355.089996,352.839996,354.27999900000003,165730000.0,354.27999900000003
