,Unnamed: 0,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,0,FB,2012-05-18,1.0,1.0,1.0,1.0,573576400,1.0,0.0,38.23,0.0,1305.050049,1312.23999,1291.97998,1295.219971,4512470000.0,1295.219971
1,1,FB,2012-05-21,1.0,1.0,1.0,1.0,168192700,1.0,-4.200001,36.129999,2.1,1295.72998,1316.390015,1295.72998,1315.98999,3786750000.0,1315.98999
2,2,FB,2012-05-22,1.0,1.0,1.0,1.0,101786600,1.0,-3.029999,34.419999,3.419999,1316.089966,1328.48999,1310.040039,1316.630005,4123680000.0,1316.630005
3,3,FB,2012-05-23,1.0,1.0,1.0,1.0,73600000,1.0,1.0,33.814999,1.8149990000000003,1316.02002,1320.709961,1296.530029,1318.859985,4108330000.0,1318.859985
4,4,FB,2012-05-24,1.0,1.0,1.0,1.0,50237200,1.0,1.0299989999999999,33.657999,0.628,1318.719971,1324.140015,1310.5,1320.680054,3937670000.0,1320.680054
5,5,FB,2012-05-25,1.0,1.0,1.0,1.0,37149800,1.0,-1.119999,33.366665999999995,1.456666,1320.810059,1324.199951,1314.22998,1317.819946,2872660000.0,1317.819946
6,6,FB,2012-05-29,1.0,1.0,1.0,1.0,78063400,1.0,-3.07,32.719999,3.8799989999999998,1318.900024,1334.930054,1318.900024,1332.420044,3441640000.0,1332.420044
7,7,FB,2012-05-30,1.0,1.0,1.0,1.0,57267900,1.0,-0.649999,32.153749,3.9637480000000003,1331.25,1331.25,1310.76001,1313.319946,3534290000.0,1313.319946
8,8,FB,2012-05-31,1.0,1.0,1.0,1.0,111639200,1.0,1.409999,31.869999,2.2699990000000003,1313.089966,1319.73999,1298.900024,1310.329956,4557620000.0,1310.329956
9,9,FB,2012-06-01,1.0,1.0,1.0,1.0,41855500,1.0,-1.8800009999999998,31.454999,3.735,1309.869995,1309.869995,1277.25,1278.040039,4669350000.0,1278.040039
10,10,FB,2012-06-04,1.0,1.0,1.0,1.0,35230300,1.0,-0.819999,31.040908,3.421999,1278.290039,1282.550049,1266.73999,1278.180054,4011960000.0,1278.180054
11,11,FB,2012-06-05,1.0,1.0,1.0,1.0,42473400,1.0,-1.0299989999999999,30.609999,3.6359980000000003,1277.819946,1287.619995,1274.160034,1285.5,3403230000.0,1285.5
12,12,FB,2012-06-06,1.0,1.0,1.0,1.0,61489200,1.0,0.939998,30.317690999999996,2.2769999999999997,1285.609985,1315.130005,1285.609985,1315.130005,4268360000.0,1315.130005
13,13,FB,2012-06-07,1.0,1.0,1.0,1.0,26159500,1.0,-0.5,30.031427,2.208,1316.150024,1329.050049,1312.680054,1314.98999,4258140000.0,1314.98999
14,14,FB,2012-06-08,1.0,1.0,1.0,1.0,38034000,1.0,0.7900010000000001,29.835998999999997,0.8249989999999999,1314.98999,1325.810059,1307.77002,1325.660034,3497190000.0,1325.660034
15,15,FB,2012-06-11,1.0,1.0,1.0,1.0,28219600,1.0,-0.09,29.659374,0.42499899999999996,1325.719971,1335.52002,1307.72998,1308.930054,3537530000.0,1308.930054
16,16,FB,2012-06-12,1.0,1.0,1.0,1.0,15816800,1.0,0.39,29.52647,0.109001,1309.400024,1324.310059,1306.619995,1324.180054,3442920000.0,1324.180054
17,17,FB,2012-06-13,1.0,1.0,1.0,1.0,17102800,1.0,-0.13,29.401111,0.071001,1324.02002,1327.280029,1310.51001,1314.880005,3506510000.0,1314.880005
18,18,FB,2012-06-14,1.0,1.0,1.0,1.0,16855000,1.0,1.020001,29.342632000000002,1.222002,1314.880005,1333.680054,1314.140015,1329.099976,3687720000.0,1329.099976
19,19,FB,2012-06-15,1.0,1.0,1.0,1.0,43563800,1.0,1.719999,29.375999999999998,2.7130009999999998,1329.189941,1343.319946,1329.189941,1342.839966,4401570000.0,1342.839966
20,20,FB,2012-06-18,1.0,1.0,1.0,1.0,42978900,1.0,1.4,29.472857,3.662001,1342.420044,1348.219971,1334.459961,1344.780029,3259430000.0,1344.780029
21,21,FB,2012-06-19,1.0,1.0,1.0,1.0,30849000,1.0,0.5,29.583636,3.5580010000000004,1344.829956,1363.459961,1344.829956,1357.97998,3815350000.0,1357.97998
22,22,FB,2012-06-20,1.0,1.0,1.0,1.0,15553600,1.0,-0.31,29.671304,2.769001,1358.040039,1361.569946,1346.449951,1355.689941,3695700000.0,1355.689941
23,23,FB,2012-06-21,1.0,1.0,1.0,1.0,21875300,1.0,0.24,29.761665999999998,2.4560009999999997,1355.430054,1358.27002,1324.410034,1325.51001,4094470000.0,1325.51001
24,24,FB,2012-06-22,1.0,1.0,1.0,1.0,74834000,1.0,1.209999,29.893199,3.071,1325.920044,1337.819946,1325.920044,1335.02002,5271490000.0,1335.02002
25,25,FB,2012-06-25,1.0,1.0,1.0,1.0,24352900,1.0,-0.9899979999999999,29.976538,1.5760020000000001,1334.900024,1334.900024,1309.27002,1313.719971,3501820000.0,1313.719971
26,26,FB,2012-06-26,1.0,1.0,1.0,1.0,24858700,1.0,1.0399969999999998,30.092221999999996,2.045999,1314.089966,1324.23999,1310.300049,1319.98999,3412940000.0,1319.98999
27,27,FB,2012-06-27,1.0,1.0,1.0,1.0,28568000,1.0,-0.8699979999999999,30.168571000000004,0.680001,1320.709961,1334.400024,1320.709961,1331.849976,3286910000.0,1331.849976
28,28,FB,2012-06-28,1.0,1.0,1.0,1.0,17713300,1.0,-0.869999,30.209654999999998,0.49699799999999994,1331.52002,1331.52002,1313.290039,1329.040039,3969370000.0,1329.040039
29,29,FB,2012-06-29,1.0,1.0,1.0,1.0,19526900,1.0,-0.26000100000000004,30.239333000000002,0.865999,1330.119995,1362.170044,1330.119995,1362.160034,4590480000.0,1362.160034
30,30,FB,2012-07-02,1.0,1.0,1.0,1.0,14122000,1.0,-0.33,30.256451000000002,1.131999,1362.329956,1366.349976,1355.699951,1365.51001,3301650000.0,1365.51001
31,31,FB,2012-07-03,1.0,1.0,1.0,1.0,8763600,1.0,0.430001,30.285937,0.630998,1365.75,1374.810059,1363.530029,1374.02002,2116390000.0,1374.02002
32,32,FB,2012-07-05,1.0,1.0,1.0,1.0,10032100,1.0,0.269998,30.321818,0.348,1373.719971,1373.849976,1363.02002,1367.579956,3041520000.0,1367.579956
33,33,FB,2012-07-06,1.0,1.0,1.0,1.0,10945600,1.0,0.26000100000000004,30.363234999999996,0.076999,1367.089966,1367.089966,1348.030029,1354.680054,2745140000.0,1354.680054
34,34,FB,2012-07-09,1.0,1.0,1.0,1.0,17785200,1.0,0.43999799999999994,30.414857,0.450999,1354.660034,1354.869995,1346.650024,1352.459961,2904860000.0,1352.459961
35,35,FB,2012-07-10,1.0,1.0,1.0,1.0,14269500,1.0,-0.6999989999999999,30.444166999999997,0.19,1352.959961,1361.540039,1336.27002,1341.469971,3470600000.0,1341.469971
36,36,FB,2012-07-11,1.0,1.0,1.0,1.0,13030300,1.0,-0.5,30.458378999999997,0.47700000000000004,1341.400024,1345.0,1333.25,1341.449951,3426290000.0,1341.449951
37,37,FB,2012-07-12,1.0,1.0,1.0,1.0,11300700,1.0,-0.16,30.467632000000002,0.495,1341.290039,1341.290039,1325.410034,1334.76001,3654440000.0,1334.76001
38,38,FB,2012-07-13,1.0,1.0,1.0,1.0,8108300,1.0,-0.09,30.474103000000003,0.521,1334.810059,1357.699951,1334.810059,1356.780029,3212930000.0,1356.780029
39,39,FB,2012-07-16,1.0,1.0,1.0,1.0,24672100,1.0,-2.469999,30.4185,2.7059990000000003,1356.5,1357.26001,1348.51001,1353.640015,2862720000.0,1353.640015
40,40,FB,2012-07-17,1.0,1.0,1.0,1.0,30438600,1.0,-0.16,30.361707,2.597999,1353.680054,1365.359985,1345.069946,1363.670044,3566680000.0,1363.670044
41,41,FB,2012-07-18,1.0,1.0,1.0,1.0,16841800,1.0,1.020001,30.331903999999998,1.368998,1363.579956,1375.26001,1358.959961,1372.780029,3642630000.0,1372.780029
42,42,FB,2012-07-19,1.0,1.0,1.0,1.0,13685100,1.0,-0.110001,30.300928999999996,1.231999,1373.01001,1380.390015,1371.209961,1376.51001,4043360000.0,1376.51001
43,43,FB,2012-07-20,1.0,1.0,1.0,1.0,11869100,1.0,-0.24,30.265908000000003,1.174999,1376.51001,1376.51001,1362.189941,1362.660034,3925020000.0,1362.660034
44,44,FB,2012-07-23,1.0,1.0,1.0,1.0,12390700,1.0,-0.01,30.232221000000003,0.8429989999999999,1362.339966,1362.339966,1337.560059,1350.52002,3717180000.0,1350.52002
45,45,FB,2012-07-24,1.0,1.0,1.0,1.0,11539800,1.0,-0.29999899999999996,30.193477,0.8409979999999999,1350.52002,1351.530029,1329.23999,1338.310059,3891290000.0,1338.310059
46,46,FB,2012-07-25,1.0,1.0,1.0,1.0,17230200,1.0,0.889999,30.175318,0.21200100000000002,1338.349976,1343.97998,1331.5,1337.890015,3719170000.0,1337.890015
47,47,FB,2012-07-26,1.0,1.0,1.0,1.0,64597400,1.0,-2.49,30.106040999999998,1.8819990000000002,1338.170044,1363.130005,1338.170044,1360.02002,4429300000.0,1360.02002
48,48,FB,2012-07-27,1.0,1.0,1.0,1.0,123102300,1.0,-3.140001,29.975509999999996,4.321000000000001,1360.050049,1389.189941,1360.050049,1385.969971,4399010000.0,1385.969971
49,49,FB,2012-07-30,1.0,1.0,1.0,1.0,29285900,1.0,-0.559999,29.839000000000002,4.370998999999999,1385.939941,1391.73999,1381.369995,1385.300049,3212060000.0,1385.300049
50,50,FB,2012-07-31,1.0,1.0,1.0,1.0,56179400,1.0,-1.440001,29.5086,5.172999999999999,1385.27002,1387.160034,1379.170044,1379.319946,3821570000.0,1379.319946
51,51,FB,2012-08-01,1.0,1.0,1.0,1.0,44604400,1.0,-0.83,29.2456,5.18,1379.319946,1385.030029,1373.349976,1375.319946,4440920000.0,1375.319946
52,52,FB,2012-08-02,1.0,1.0,1.0,1.0,56374500,1.0,-0.8399979999999999,29.0264,5.123998,1375.130005,1375.130005,1354.650024,1365.0,4193740000.0,1365.0
53,53,FB,2012-08-03,1.0,1.0,1.0,1.0,80647000,1.0,1.049999,28.8082,3.306999,1365.449951,1394.160034,1365.449951,1390.98999,3751170000.0,1390.98999
54,54,FB,2012-08-06,1.0,1.0,1.0,1.0,27778900,1.0,0.83,28.586,1.7939990000000001,1391.040039,1399.630005,1391.040039,1394.22998,3122050000.0,1394.22998
55,55,FB,2012-08-07,1.0,1.0,1.0,1.0,36782900,1.0,-1.200001,28.3622,2.221,1394.459961,1407.140015,1394.459961,1401.349976,3682490000.0,1401.349976
56,56,FB,2012-08-08,1.0,1.0,1.0,1.0,29537400,1.0,0.0,28.1998,1.359,1401.22998,1404.140015,1396.130005,1402.219971,3221790000.0,1402.219971
57,57,FB,2012-08-09,1.0,1.0,1.0,1.0,15610700,1.0,0.290001,28.0562,0.48499899999999996,1402.26001,1405.949951,1398.800049,1402.800049,3119610000.0,1402.800049
58,58,FB,2012-08-10,1.0,1.0,1.0,1.0,25794700,1.0,0.799999,27.9004,0.505,1402.579956,1405.97998,1395.619995,1405.869995,2767980000.0,1405.869995
59,59,FB,2012-08-13,1.0,1.0,1.0,1.0,24973100,1.0,-0.209999,27.778000000000002,0.45000100000000004,1405.869995,1405.869995,1397.319946,1404.109985,2499990000.0,1404.109985
60,60,FB,2012-08-14,1.0,1.0,1.0,1.0,39308800,1.0,-1.2200010000000001,27.6476,0.637,1404.359985,1410.030029,1400.599976,1403.930054,2930900000.0,1403.930054
61,61,FB,2012-08-15,1.0,1.0,1.0,1.0,47861100,1.0,0.820002,27.5542,0.151002,1403.890015,1407.72998,1401.829956,1405.530029,2655750000.0,1405.530029
62,62,FB,2012-08-16,1.0,1.0,1.0,1.0,157565300,1.0,-1.33,27.4154,1.1619979999999999,1405.569946,1417.439941,1404.150024,1415.51001,3114100000.0,1415.51001
63,63,FB,2012-08-17,1.0,1.0,1.0,1.0,129293400,1.0,-0.820002,27.2702,1.778,1415.839966,1418.709961,1414.670044,1418.160034,2922990000.0,1418.160034
64,64,FB,2012-08-20,1.0,1.0,1.0,1.0,101186600,1.0,0.960001,27.1284,0.626999,1417.849976,1418.130005,1412.119995,1418.130005,2766320000.0,1418.130005
65,65,FB,2012-08-21,1.0,1.0,1.0,1.0,70640600,1.0,-0.85,26.9714,1.320999,1418.130005,1426.680054,1410.859985,1413.170044,3282950000.0,1413.170044
