,Unnamed: 0,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,0,GOOGL,2004-08-19,1.0,1.0,1.0,1.0,44659000,1.0,0.0,50.220219,0.0,1095.170044,1095.170044,1086.280029,1091.22998,1249400000.0,1091.22998
1,1,GOOGL,2004-08-20,1.0,1.0,1.0,1.0,22834300,1.0,3.9889910000000004,52.214714,1.9944959999999998,1091.22998,1100.26001,1089.569946,1098.349976,1199900000.0,1098.349976
2,2,GOOGL,2004-08-23,1.0,1.0,1.0,1.0,18256100,1.0,0.5455439999999999,53.06139399999999,1.6933599999999998,1098.349976,1101.400024,1094.72998,1095.680054,1021900000.0,1095.680054
3,3,GOOGL,2004-08-24,1.0,1.0,1.0,1.0,15247300,1.0,-2.267266,52.91791800000001,0.43043000000000003,1095.680054,1100.939941,1092.819946,1096.189941,1092500000.0,1096.189941
4,4,GOOGL,2004-08-25,1.0,1.0,1.0,1.0,9188600,1.0,0.565567,52.944945,0.10811,1096.189941,1106.290039,1093.23999,1104.959961,1192200000.0,1104.959961
5,5,GOOGL,2004-08-26,1.0,1.0,1.0,1.0,7094800,1.0,0.9559559999999999,53.122289,0.8867219999999999,1104.959961,1106.780029,1102.459961,1105.089966,1023600000.0,1105.089966
6,6,GOOGL,2004-08-27,1.0,1.0,1.0,1.0,6211700,1.0,-0.8808819999999999,53.123123,0.005006,1105.089966,1109.680054,1104.619995,1107.77002,845400000.0,1107.77002
7,7,GOOGL,2004-08-30,1.0,1.0,1.0,1.0,5196700,1.0,-2.0720709999999998,52.864740000000005,1.808682,1107.77002,1107.77002,1099.150024,1099.150024,843100000.0,1099.150024
8,8,GOOGL,2004-08-31,1.0,1.0,1.0,1.0,4917800,1.0,0.180179,52.683794999999996,1.447558,1099.150024,1104.23999,1094.719971,1104.23999,1138200000.0,1104.23999
9,9,GOOGL,2004-09-01,1.0,1.0,1.0,1.0,9138200,1.0,-1.0610620000000002,52.432933,2.2577580000000004,1104.23999,1109.23999,1099.180054,1105.910034,1142100000.0,1105.910034
10,10,GOOGL,2004-09-02,1.0,1.0,1.0,1.0,15118600,1.0,0.630631,52.285012,1.685686,1105.910034,1119.109985,1105.599976,1118.310059,1118400000.0,1118.310059
11,11,GOOGL,2004-09-03,1.0,1.0,1.0,1.0,5152400,1.0,-0.7507520000000001,52.099182,2.0210220000000003,1118.310059,1120.800049,1113.569946,1113.630005,924170000.0,1113.630005
12,12,GOOGL,2004-09-07,1.0,1.0,1.0,1.0,5847500,1.0,0.785786,52.002386,0.8438450000000001,1113.630005,1124.079956,1113.630005,1121.300049,1214400000.0,1121.300049
13,13,GOOGL,2004-09-08,1.0,1.0,1.0,1.0,4985600,1.0,0.360363,51.945159000000004,0.35485300000000003,1121.300049,1123.050049,1116.27002,1116.27002,1246300000.0,1116.27002
14,14,GOOGL,2004-09-09,1.0,1.0,1.0,1.0,4061700,1.0,0.005005,51.895896,0.165163,1116.27002,1121.300049,1113.619995,1118.380005,1371300000.0,1118.380005
15,15,GOOGL,2004-09-10,1.0,1.0,1.0,1.0,8698800,1.0,1.511509,51.94726,1.475475,1118.380005,1125.26001,1114.390015,1123.920044,1261200000.0,1123.920044
