,Unnamed: 0,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,0,IBM,1962-01-02,1.0,1.0,1.0,1.0,387200,1.0,0.0,2.322898,0.0,71.550003,71.959999,70.709999,70.959999,3120000.0,70.959999
1,1,IBM,1962-01-03,1.0,1.0,1.0,1.0,288000,1.0,0.020303,2.3330490000000004,0.010152,70.959999,71.480003,70.379997,71.129997,3590000.0,71.129997
2,2,IBM,1962-01-04,1.0,1.0,1.0,1.0,256000,1.0,-0.023349,2.32865,0.008798,71.129997,71.620003,70.449997,70.639999,4450000.0,70.639999
3,3,IBM,1962-01-05,1.0,1.0,1.0,1.0,363200,1.0,-0.045686000000000004,2.315029,0.040863,70.639999,70.839996,69.349998,69.660004,4630000.0,69.660004
4,4,IBM,1962-01-08,1.0,1.0,1.0,1.0,544000,1.0,-0.042641000000000005,2.2983279999999997,0.066803,69.660004,69.839996,68.16999799999999,69.120003,4620000.0,69.120003
5,5,IBM,1962-01-09,1.0,1.0,1.0,1.0,491200,1.0,0.026395,2.291593,0.033673,69.120003,69.93,68.83000200000001,69.150002,3600000.0,69.150002
6,6,IBM,1962-01-10,1.0,1.0,1.0,1.0,299200,1.0,0.004063000000000001,2.287363,0.02538,69.150002,69.58000200000001,68.620003,68.959999,3300000.0,68.959999
7,7,IBM,1962-01-11,1.0,1.0,1.0,1.0,315200,1.0,0.024366,2.287236,0.0008869999999999999,68.959999,69.540001,68.57,69.370003,3390000.0,69.370003
8,8,IBM,1962-01-12,1.0,1.0,1.0,1.0,435200,1.0,0.00406,2.287589,0.00282,69.370003,70.16999799999999,69.230003,69.610001,3730000.0,69.610001
9,9,IBM,1962-01-15,1.0,1.0,1.0,1.0,251200,1.0,0.010151,2.288886,0.011674,69.610001,69.959999,69.059998,69.470001,3450000.0,69.470001
10,10,IBM,1962-01-16,1.0,1.0,1.0,1.0,251200,1.0,-0.024366,2.287732,0.008022,69.470001,69.610001,68.68,69.07,3650000.0,69.07
11,11,IBM,1962-01-17,1.0,1.0,1.0,1.0,419200,1.0,-0.036549,2.283725,0.034214999999999995,69.07,69.309998,68.129997,68.32,3780000.0,68.32
12,12,IBM,1962-01-18,1.0,1.0,1.0,1.0,371200,1.0,0.006092,2.2808029999999997,0.020711,68.32,68.730003,67.75,68.389999,3460000.0,68.389999
