,Unnamed: 0,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,0,UPS,1999-11-10,1.0,1.0,1.0,1.0,80793700,1.0,0.0,46.861733,0.0,1365.280029,1379.180054,1359.97998,1373.459961,984700000.0,1373.459961
1,1,UPS,1999-11-11,1.0,1.0,1.0,1.0,28309000,1.0,4.634677,49.179071,2.317339,1373.459961,1382.119995,1372.189941,1381.459961,891300000.0,1381.459961
2,2,UPS,1999-11-12,1.0,1.0,1.0,1.0,14768100,1.0,-3.089784,48.921589000000004,0.5149630000000001,1381.459961,1396.119995,1368.540039,1396.060059,900200000.0,1396.060059
3,3,UPS,1999-11-15,1.0,1.0,1.0,1.0,8675100,1.0,-1.029928,48.535365999999996,1.158668,1396.060059,1398.579956,1392.280029,1394.390015,795700000.0,1394.390015
4,4,UPS,1999-11-16,1.0,1.0,1.0,1.0,6978600,1.0,-2.059857,47.891661,2.57482,1394.390015,1420.359985,1394.390015,1420.069946,942200000.0,1420.069946
5,5,UPS,1999-11-17,1.0,1.0,1.0,1.0,5806900,1.0,1.158669,47.655636,1.180126,1420.069946,1423.439941,1410.689941,1410.709961,960000000.0,1410.709961
6,6,UPS,1999-11-18,1.0,1.0,1.0,1.0,4718700,1.0,-0.9441,47.352175,1.8207650000000002,1410.709961,1425.310059,1410.709961,1424.939941,1022800000.0,1424.939941
7,7,UPS,1999-11-19,1.0,1.0,1.0,1.0,5091100,1.0,-0.9011879999999999,47.011931,2.381709,1424.939941,1424.939941,1417.540039,1422.0,893800000.0,1422.0
8,8,UPS,1999-11-22,1.0,1.0,1.0,1.0,4785400,1.0,-1.28741,46.604251,3.2614389999999998,1422.0,1425.0,1412.400024,1420.939941,873500000.0,1420.939941
9,9,UPS,1999-11-23,1.0,1.0,1.0,1.0,2832200,1.0,2.10277,46.488384,1.042802,1420.939941,1423.910034,1402.199951,1404.640015,926100000.0,1404.640015
10,10,UPS,1999-11-24,1.0,1.0,1.0,1.0,2179400,1.0,1.241541,46.506451,0.2162,1404.640015,1419.709961,1399.170044,1417.079956,734800000.0,1417.079956
11,11,UPS,1999-11-26,1.0,1.0,1.0,1.0,1322500,1.0,0.991509,46.604133000000004,1.589487,1417.079956,1425.23999,1416.140015,1416.619995,312120000.0,1416.619995
12,12,UPS,1999-11-29,1.0,1.0,1.0,1.0,1987000,1.0,-0.6897449999999999,46.633728999999995,1.0415159999999999,1416.619995,1416.619995,1404.150024,1407.829956,866100000.0,1407.829956
13,13,UPS,1999-11-30,1.0,1.0,1.0,1.0,1686100,1.0,-1.422599,46.557483000000005,0.200042,1407.829956,1410.589966,1386.949951,1388.910034,951500000.0,1388.910034
14,14,UPS,1999-12-01,1.0,1.0,1.0,1.0,1405700,1.0,-0.129328,46.482781,0.341382,1388.910034,1400.119995,1387.380005,1397.719971,884000000.0,1397.719971
15,15,UPS,1999-12-02,1.0,1.0,1.0,1.0,1391000,1.0,0.8190729999999999,46.468609,0.49963900000000006,1397.719971,1409.040039,1397.719971,1409.040039,900700000.0,1409.040039
16,16,UPS,1999-12-03,1.0,1.0,1.0,1.0,1753500,1.0,-0.431091,46.430746,0.039195,1409.040039,1447.420044,1409.040039,1433.300049,1006400000.0,1433.300049
17,17,UPS,1999-12-06,1.0,1.0,1.0,1.0,1398900,1.0,-0.129327,46.389905,0.196671,1433.300049,1434.150024,1418.25,1423.329956,916800000.0,1423.329956
