,Unnamed: 0,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,0,WU,2006-10-02,1.0,1.0,1.0,1.0,7111800,1.0,0.0,16.867238,0.0,1335.819946,1338.540039,1330.280029,1331.319946,2154480000.0,1331.319946
1,1,WU,2006-10-03,1.0,1.0,1.0,1.0,11416000,1.0,0.20486500000000002,16.96967,0.102433,1331.319946,1338.310059,1327.099976,1334.109985,2682690000.0,1334.109985
2,2,WU,2006-10-04,1.0,1.0,1.0,1.0,10722800,1.0,-0.18779300000000002,16.941217,0.056907000000000006,1333.810059,1350.199951,1331.47998,1350.199951,3019880000.0,1350.199951
3,3,WU,2006-10-05,1.0,1.0,1.0,1.0,8782400,1.0,-0.119505,16.897114000000002,0.13230899999999998,1349.839966,1353.790039,1347.75,1353.219971,2817240000.0,1353.219971
4,4,WU,2006-10-06,1.0,1.0,1.0,1.0,6282100,1.0,-0.059752,16.858701999999997,0.153649,1353.219971,1353.219971,1344.209961,1349.589966,2523000000.0,1349.589966
5,5,WU,2006-10-09,1.0,1.0,1.0,1.0,3518000,1.0,0.136576,16.855856,0.014227000000000002,1349.579956,1352.689941,1346.550049,1350.660034,1935170000.0,1350.660034
6,6,WU,2006-10-10,1.0,1.0,1.0,1.0,6132200,1.0,-0.017072,16.851385,0.026827999999999998,1350.619995,1354.22998,1348.599976,1353.420044,2376140000.0,1353.420044
7,7,WU,2006-10-11,1.0,1.0,1.0,1.0,9504800,1.0,-0.341442,16.805351,0.322236,1353.280029,1353.969971,1343.569946,1349.949951,2521000000.0,1349.949951
8,8,WU,2006-10-12,1.0,1.0,1.0,1.0,8323700,1.0,-0.239008,16.742991,0.498884,1349.939941,1363.76001,1349.939941,1362.829956,2514350000.0,1362.829956
9,9,WU,2006-10-13,1.0,1.0,1.0,1.0,10659500,1.0,-0.136577,16.679445,0.571915,1362.819946,1366.630005,1360.5,1365.619995,2482920000.0,1365.619995
10,10,WU,2006-10-16,1.0,1.0,1.0,1.0,9966300,1.0,-0.11097,16.617365,0.595817,1365.609985,1370.199951,1364.47998,1369.060059,2305920000.0,1369.060059
11,11,WU,2006-10-17,1.0,1.0,1.0,1.0,4902400,1.0,-0.136576,16.55425,0.6111810000000001,1369.050049,1369.050049,1356.869995,1364.050049,2519620000.0,1364.050049
12,12,WU,2006-10-18,1.0,1.0,1.0,1.0,6600200,1.0,0.358514,16.528423,0.186086,1363.930054,1372.869995,1360.949951,1365.800049,2658840000.0,1365.800049
13,13,WU,2006-10-19,1.0,1.0,1.0,1.0,8959200,1.0,0.42680200000000007,16.536770999999998,0.25266700000000003,1365.949951,1368.089966,1362.060059,1366.959961,2619830000.0,1366.959961
14,14,WU,2006-10-20,1.0,1.0,1.0,1.0,5712600,1.0,0.11096800000000001,16.551404,0.358513,1366.939941,1368.660034,1362.099976,1368.599976,2526410000.0,1368.599976
15,15,WU,2006-10-23,1.0,1.0,1.0,1.0,6780900,1.0,-0.042679,16.561541000000002,0.328638,1368.579956,1377.400024,1363.939941,1377.02002,2480430000.0,1377.02002
