,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,GE,1962-01-02,0.00980906162555,0.00988070008355,0.00980050433466,0.00977320176633,2073600,9.5023461429e-05,0.0,0.144808,0.0,71.550003,71.959999,70.709999,70.959999,3120000.0,70.959999
1,GE,1962-01-03,0.00972732441526,0.00963774733739,0.00973448703091,0.00967504914238,1420800,9.40693420923e-05,-0.001454,0.144081,0.000727,70.959999,71.480003,70.379997,71.129997,3590000.0,71.129997
2,GE,1962-01-04,0.00967823202363,0.00967009153614,0.00956950594021,0.00956070551473,1766400,9.29577340066e-05,-0.001694,0.143274,0.001614,71.129997,71.620003,70.449997,70.639999,4450000.0,70.639999
3,GE,1962-01-05,0.00956385077941,0.00949195080974,0.00923954534273,0.00931557531111,2620800,9.0573748071e-05,-0.003633,0.141962,0.003935,70.639999,70.839996,69.349998,69.660004,4630000.0,69.660004
4,GE,1962-01-08,0.00931863993327,0.00923282635295,0.00910750994328,0.0092992587927,2976000,9.0415603119e-05,-0.000241,0.141127,0.003341,69.660004,69.839996,68.169998,69.120003,4620000.0,69.120003
5,GE,1962-01-09,0.00930231804708,0.00934615428209,0.00932203509612,0.00934820939387,2236800,9.08913503812e-05,0.000725,0.140691,0.00218,69.120003,69.93,68.830002,69.150002,3600000.0,69.150002
6,GE,1962-01-10,0.00935128475193,0.00936232664063,0.00940452564147,0.00939728564047,1881600,9.13684100495e-05,0.000727,0.140483,0.001245,69.150002,69.580002,68.620003,68.959999,3300000.0,68.959999
7,GE,1962-01-11,0.00940037714355,0.00932998257146,0.00932203509612,0.00941360228962,1564800,9.15272112046e-05,0.000242,0.140358,0.000878,68.959999,69.540001,68.57,69.370003,3390000.0,69.370003
8,GE,1962-01-12,0.00941669916052,0.00934615428209,0.00933850833773,0.00928281571365,1622400,9.02554895577e-05,-0.001938,0.140045,0.002503,69.370003,70.169998,69.230003,69.610001,3730000.0,69.610001
9,GE,1962-01-15,0.00930231804708,0.00932998257146,0.00938805332381,0.0093809683376,2035200,9.12096088945e-05,0.001454,0.13994,0.000944,69.610001,69.959999,69.059998,69.470001,3450000.0,69.470001
10,GE,1962-01-16,0.00938405447265,0.00941096707935,0.00940452564147,0.00946267853622,1334400,9.2004270873e-05,0.001211,0.139964,0.000727,69.470001,69.610001,68.68,69.07,3650000.0,69.07
11,GE,1962-01-17,0.0094493438484,0.00936232664063,0.00927249024203,0.00925018241536,2054400,8.99385434506e-05,-0.003148,0.139722,0.001792,69.07,69.309998,68.129997,68.32,3780000.0,68.32
12,GE,1962-01-18,0.00925322552467,0.0092651705517,0.00932203509612,0.00934820939387,1420800,9.08913503812e-05,0.001452,0.139629,2.5e-05,68.32,68.730003,67.75,68.389999,3460000.0,68.389999
13,GE,1962-01-19,0.00935128475193,0.00934615428209,0.00943747133273,0.00942991893876,1276800,9.16860123597e-05,0.001211,0.139636,0.001017,68.389999,70.080002,68.139999,68.75,3800000.0,68.75
14,GE,1962-01-22,0.0094493438484,0.00949195080974,0.00953643419574,0.00946267853622,1363200,9.2004270873e-05,0.000485,0.139674,0.00126,68.75,69.370003,68.449997,68.809998,3810000.0,68.809998
15,GE,1962-01-23,0.00943302117749,0.00934615428209,0.00933850833773,0.00928281571365,2188800,9.02554895577e-05,-0.002665,0.139541,0.001308,68.809998,68.959999,68.0,68.290001,3350000.0,68.290001
16,GE,1962-01-24,0.00928586955861,0.00941096707935,0.00933850833773,0.00946267853622,1536000,9.2004270873e-05,0.002665,0.13958,0.00126,68.290001,68.68,67.550003,68.400002,3760000.0,68.400002
17,GE,1962-01-25,0.00946579155215,0.00944331037102,0.00938805332381,0.00936452604301,1526400,9.10501515362e-05,-0.001454,0.139534,0.000121,68.400002,69.050003,68.099998,68.349998,3560000.0,68.349998
18,GE,1962-01-26,0.0093676067689,0.0092976385023,0.00938805332381,0.00933189196025,969600,9.07325492261e-05,-0.000484,0.139467,0.000678,68.349998,68.669998,67.830002,68.129997,3330000.0,68.129997
19,GE,1962-01-29,0.00933496195024,0.0092976385023,0.00940452564147,0.00934820939387,979200,9.08913503812e-05,0.000242,0.139419,0.000387,68.129997,68.5,67.550003,67.900002,3050000.0,67.900002
20,GE,1962-01-30,0.00946579155215,0.0095242948789,0.00955303349056,0.00951162926813,1708800,9.24800181351e-05,0.002421,0.139491,0.001962,67.900002,68.650002,67.620003,68.169998,3520000.0,68.169998
21,GE,1962-01-31,0.00951475838778,0.00971873184527,0.00958597918182,0.00980583571835,1804800,9.53410637392e-05,0.00436,0.139755,0.005499,68.169998,69.089996,68.120003,68.839996,3840000.0,68.839996
22,GE,1962-02-01,0.00980906162555,0.00976737215441,0.00973448703091,0.0097404428226,2467200,9.47052029157e-05,-0.000969,0.139954,0.003949,68.839996,69.650002,68.559998,69.260002,4260000.0,69.260002
23,GE,1962-02-02,0.00974364721695,0.00970256013465,0.00976743193021,0.0097895190692,1420800,9.51822625841e-05,0.000727,0.140166,0.004143,69.260002,70.019997,69.019997,69.809998,3950000.0,69.809998
24,GE,1962-02-05,0.00977641693767,0.00968638777611,0.00970141449448,0.00960965611589,1353600,9.34334812688e-05,-0.002665,0.140255,0.00126,69.809998,70.300003,69.419998,69.879997,3890000.0,69.879997
25,GE,1962-02-06,0.00964558798969,0.00965391982551,0.00973448703091,0.00970780873984,998400,9.43876006056e-05,0.001454,0.140393,0.002084,69.879997,70.32,69.410004,69.959999,3650000.0,69.959999
26,GE,1962-02-07,0.00971100239829,0.00971873184527,0.00976743193021,0.00980583571835,1622400,9.53410637392e-05,0.001453,0.140574,0.003029,69.959999,70.669998,69.779999,70.419998,4140000.0,70.419998
27,GE,1962-02-08,0.00980906162555,0.00978354386504,0.00988299488001,0.0098712286141,1689600,9.59769245627e-05,0.000969,0.140777,0.003247,70.419998,70.949997,70.160004,70.580002,3810000.0,70.580002
28,GE,1962-02-09,0.00987447603414,0.00978354386504,0.009784032017,0.0098221523675,1449600,9.54992086912e-05,-0.000728,0.140941,0.001793,70.580002,70.830002,69.93,70.480003,3370000.0,70.480003
29,GE,1962-02-12,0.00982538364252,0.00976737215441,0.00986652177039,0.0098221523675,787200,9.54992086912e-05,0.0,0.141094,0.001091,70.480003,70.809998,70.139999,70.459999,2620000.0,70.459999
30,GE,1962-02-13,0.00984170631342,0.0098483566623,0.00993241288892,0.00993662229432,1161600,9.6612129183e-05,0.001696,0.141292,0.002157,70.459999,70.889999,70.07,70.449997,3400000.0,70.449997
31,GE,1962-02-14,0.00993989122746,0.00996168459144,0.0100149026423,0.0100183318392,1555200,9.74067911616e-05,0.001211,0.141515,0.003053,70.449997,70.790001,70.029999,70.419998,3630000.0,70.419998
32,GE,1962-02-15,0.0100379504547,0.0101074811191,0.0101304657241,0.0101654351951,1795200,9.88373139636e-05,0.00218,0.141791,0.004603,70.419998,71.059998,70.230003,70.739998,3470000.0,70.739998
33,GE,1962-02-16,0.0101687794027,0.0100913094085,0.0101139924825,0.0101000421686,2246400,9.82014531401e-05,-0.000969,0.142022,0.003174,70.739998,71.129997,70.269997,70.589996,3700000.0,70.589996
34,GE,1962-02-19,0.0101033648633,0.0100588408099,0.0100644476284,0.0100183318392,1497600,9.74067911616e-05,-0.001211,0.142205,0.001358,70.589996,70.959999,70.120003,70.410004,3350000.0,70.410004
